Material Class,Material Formula
Pyrochlore,Bi2Zr2O7
Pyrochlore,La2Ce2O7
Pyrochlore,La2Hf2O7
Pyrochlore,La2Sn2O7
Pyrochlore,La2Ti2O7
Pyrochlore,La2Zr2O7
Pyrochlore,Lu2Ce2O7
Pyrochlore,Lu2Hf2O7
Pyrochlore,Lu2Sn2O7
Pyrochlore,Lu2Ti2O7
Pyrochlore,Lu2Zr2O7
Pyrochlore,Pb2Nb2O7
Pyrochlore,Pb2Sb2O7
Pyrochlore,Pb2Ta2O7
Pyrochlore,Y2Ce2O7
Pyrochlore,Y2Hf2O7
Pyrochlore,Y2Sn2O7
Pyrochlore,Y2Ti2O7
Pyrochlore,Y2Zr2O7
